"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Azerbaijan","AZE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3000000","0","2000000","0","0","","12000000","","","5000000","","0","","","","","","","2000000","3000000","1000000","19000000","41000000","89000000","115000000","3000000","19000000","","18000000","36000000","1000000","1000000","","","33000000","158000000","57000000","93000000","46000000","45000000","26000000","37000000","35000000","15000000","47000000","159000000","59000000","19000000","217000000","243000000","9000000","116000000","22000000","55000000","10000000","12000000","7000000","17000000","21000000","53000000","53000000","","",
"Benin","BEN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","2000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","4000000","","","106000000","","","5000000","6000000","42000000","16000000","28000000","55000000","1000000","21000000","6000000","39000000","167000000","2000000","10000000","37000000","44000000","19000000","86000000","5000000","9000000","4000000","16000000","4000000","2000000","13000000","21000000","14000000","70000000","61000000","31000000","14000000","10000000","","","",
"Bahrain","BHR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","",
"Bosnia and Herzegovina","BIH","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","","","","","","","","","14000000","","3000000","","","","","","","","","",
"Belarus","BLR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000000","","7000000","129000000","341000000","63000000","452000000","293000000","49000000","63000000","57000000","19000000","53000000","43000000","6000000","224000000","41000000","159000000","96000000","97000000","269000000","101000000","142000000","152000000","50000000","79000000","159000000","23000000","","",
"Belize","BLZ","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","2000000","12000000","","","","","","","","3000000","","0","","","32000000","58000000","103000000","144000000","180000000","71000000","156000000","64000000","117000000","196000000","269000000","203000000","138000000","215000000","204000000","53000000","106000000","127000000","98000000","40000000","54000000","38000000","27000000","27000000","18000000","","","","19000000","","46000000","1000000","44000000","53000000","92000000","43000000","143000000","31000000","33000000","31000000","31000000","52000000","122000000","37000000","100000000","10000000","170000000","","",
"Barbados","BRB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24000000","","","","","12000000","","","","","","",
"Bhutan","BTN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","52000000","314000000","188000000","213000000","253000000","111000000","92000000","58000000","193000000","163000000","194000000","291000000","324000000","125000000","119000000","129000000","309000000","160000000","187000000","186000000","153000000","124000000","253000000","112000000","96000000","94000000","251000000","265000000","142000000","43000000","92000000","110000000","140000000","145000000","165000000","259000000","155000000","93000000","38000000","77000000","71000000","121000000","175000000","278000000","277000000","235000000","235000000","332000000","236000000","183000000","237000000","317000000","266000000","183000000","189000000","337000000","110000000","70000000","115000000","211000000","200000000","","",
"Central Europe and the Baltics","CEB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","628000000","205000000","185000000","244000000","504000000","559000000","764000000","736000000","831000000","1018000000","703000000","700000000","937000000","878000000","1115000000","","","","1190000000","1090000000","1055000000","1343000000","1235000000","1273000000","","","1630000000","","","1103000000","742000000","518000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","442000000","500000000","530000000","337000000","379000000","484000000","367000000","261000000","91000000","104000000","18000000","42000000","34000000","54000000","89000000","395000000","480000000","260000000","196000000","454000000","492000000","523000000","409000000","331000000","528000000","346000000","345000000","311000000","370000000","318000000","467000000","496000000","451000000","234000000","176000000","146000000","196000000","125000000","214000000","283000000","188000000","222000000","178000000","199000000","272000000","267000000","311000000","318000000","473000000","242000000","264000000","340000000","242000000","194000000","343000000","479000000","215000000","173000000","240000000","226000000","179000000","","",
"Channel Islands","CHI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","0","","","0","","0","0","","1000000","","","3000000","3000000","4000000","4000000","","3000000","8000000","","","","29000000","","2000000","1000000","1000000","","1000000","","","","","","100000000","","","","","","20000000","","","","0","","","","",
"China","CHN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","285000000","35000000","47000000","12000000","68000000","387000000","619000000","412000000","730000000","657000000","893000000","1293000000","1238000000","662000000","511000000","668000000","586000000","230000000","617000000","560000000","949000000","642000000","1504000000","1770000000","1929000000","1272000000","1862000000","2605000000","1412000000","1041000000","941000000","1312000000","700000000","1436000000","1103000000","1008000000","766000000","427000000","350000000","329000000","295000000","513000000","523000000","698000000","411000000","285000000","664000000","510000000","651000000","1137000000","1475000000","1271000000","1526000000","2067000000","1212000000","1780000000","2410000000","1438000000","1169000000","1472000000","760000000","","",
"Cote d'Ivoire","CIV","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","","","","",
"Cameroon","CMR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","22000000","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000000","","","","","","","","","","0","","","","","10000000","","10000000","4000000","","",
"Comoros","COM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","1000000","","","12000000","10000000","8000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36000000","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","623000000","200000000","173000000","133000000","267000000","325000000","427000000","409000000","506000000","667000000","435000000","420000000","648000000","667000000","874000000","712000000","802000000","813000000","846000000","817000000","796000000","937000000","929000000","1049000000","1093000000","1029000000","1231000000","1289000000","1347000000","1053000000","624000000","416000000","213000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","156000000","12000000","146000000","133000000","438000000","331000000","714000000","776000000","574000000","866000000","1561000000","1364000000","1377000000","227000000","1208000000","1446000000","1662000000","1893000000","1671000000","1466000000","1602000000","1902000000","1546000000","2270000000","2812000000","1288000000","1379000000","923000000","1398000000","1294000000","1862000000","2406000000","1491000000","1534000000","2885000000","1506000000","1945000000","944000000","1813000000","1873000000","1615000000","902000000","912000000","1665000000","1105000000","2054000000","2707000000","3273000000","2368000000","2462000000","2666000000","1311000000","750000000","791000000","1790000000","1763000000","2506000000","1944000000","1070000000","978000000","1232000000","","",
"Djibouti","DJI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","20000000","","","","60000000","14000000","","131000000","28000000","3000000","","","","","","23000000","","","","","18000000","29000000","64000000","115000000","","","","117000000","36000000","","72000000","8000000","","183000000","272000000","16000000","","","1000000","6000000","20000000","1000000","10000000","5000000","","","9000000","6000000","17000000","14000000","8000000","28000000","33000000","11000000","17000000","25000000","25000000","22000000","31000000","4000000","","","",
"Dominican Republic","DOM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","","","","","",
"Algeria","DZA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","6000000","","","","","","","","","","","","6000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","285000000","35000000","47000000","19000000","68000000","387000000","619000000","412000000","730000000","657000000","905000000","","","","","","","","","","","","","","","","","","","","","","","","","1075000000","","","","448000000","","","","839000000","491000000","314000000","800000000","534000000","672000000","1163000000","1480000000","1275000000","1526000000","2082000000","1228000000","1780000000","2498000000","1535000000","1184000000","1481000000","760000000","","",
"Early-demographic dividend","EAR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","27000000","33000000","","","","","","58000000","","70000000","","","164000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","884000000","","","",
"East Asia & Pacific","EAS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","286000000","98000000","151000000","27000000","82000000","","","425000000","","","","","","","","","","","","791000000","","","","","","","","","","1317000000","1265000000","","","","","","1022000000","600000000","","","","","","","","","","","","","","","","","","","3180000000","2383000000","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1802000000","4139000000","3971000000","4475000000","2851000000","5879000000","5164000000","5916000000","6299000000","5944000000","6664000000","5661000000","5894000000","6366000000","6995000000","5812000000","7192000000","9668000000","9945000000","9033000000","6394000000","6812000000","7834000000","6657000000","7333000000","5757000000","3515000000","","",
"Europe & Central Asia","ECS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","4729000000","3335000000","3389000000","3639000000","4805000000","4592000000","5416000000","5929000000","5345000000","5813000000","5478000000","7814000000","7970000000","7325000000","7589000000","8735000000","8829000000","9246000000","9729000000","9682000000","10880000000","13127000000","12531000000","12283000000","12500000000","10743000000","9530000000","9873000000","9849000000","10273000000","7928000000","7463000000","8423000000","9241000000","9144000000","9858000000","11223000000","13276000000","11147000000","12832000000","10747000000","11486000000","11189000000","11545000000","12635000000","13186000000","15113000000","16694000000","15409000000","14521000000","14334000000","18167000000","15918000000","16239000000","14895000000","15052000000","16278000000","15475000000","13552000000","12988000000","10353000000","","",
"Ecuador","ECU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000000","","","","2000000","","","","",
"Egypt, Arab Rep.","EGY","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","0","7000000","8000000","1000000","","13000000","3000000","26000000","15000000","39000000","","","","","16000000","","67000000","78000000","13000000","29000000","77000000","81000000","71000000","37000000","5000000","19000000","61000000","65000000","63000000","20000000","","13000000","22000000","15000000","9000000","5000000","5000000","","","","","","","","","","","","","","","","","7000000","21000000","","","","2000000","","","",
"Euro area","EMU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","1342000000","1341000000","1489000000","1693000000","2368000000","1967000000","2815000000","2618000000","2653000000","2838000000","3619000000","4344000000","4381000000","3617000000","3973000000","4743000000","4565000000","5560000000","5994000000","6213000000","7274000000","8380000000","8059000000","7853000000","7841000000","6762000000","5232000000","4016000000","4710000000","4774000000","4462000000","4577000000","3481000000","3635000000","5012000000","3671000000","4994000000","6115000000","6326000000","4822000000","3331000000","2942000000","3257000000","3922000000","4086000000","5558000000","7207000000","8415000000","6291000000","6732000000","4865000000","6221000000","4098000000","4435000000","5964000000","6169000000","6419000000","7142000000","5009000000","5882000000","5859000000","","",
"Eritrea","ERI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","0","","","","","","","0","","","","","","","","","","","","","","","","",
"Spain","ESP","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","1000000","5000000","6000000","6000000","7000000","21000000","21000000","7000000","7000000","6000000","70000000","140000000","4000000","4000000","84000000","267000000","46000000","25000000","38000000","18000000","10000000","130000000","251000000","352000000","242000000","85000000","183000000","153000000","142000000","176000000","115000000","104000000","69000000","103000000","248000000","87000000","111000000","632000000","171000000","45000000","47000000","8000000","18000000","96000000","52000000","109000000","841000000","601000000","601000000","950000000","262000000","1428000000","545000000","733000000","1051000000","1162000000","471000000","820000000","1025000000","989000000","1201000000","","",
"Estonia","EST","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000000","","","","","","","","","","","","","","","","","","","0","","","","","","","",
"Ethiopia","ETH","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","35000000","","51000000","","","","","","","","","","17000000","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","2028000000","1591000000","1718000000","1950000000","2954000000","2572000000","3635000000","3540000000","3572000000","3895000000","4573000000","5574000000","5441000000","4510000000","5163000000","5908000000","5843000000","6809000000","7239000000","7566000000","8505000000","9882000000","9483000000","9358000000","9421000000","8234000000","7184000000","5912000000","6892000000","6280000000","5507000000","5259000000","3929000000","3986000000","5610000000","4074000000","5412000000","6279000000","6705000000","5464000000","3764000000","3929000000","3557000000","4591000000","4446000000","6278000000","7899000000","8967000000","6840000000","7248000000","5566000000","6955000000","4645000000","5252000000","6358000000","6446000000","6775000000","7293000000","5231000000","6077000000","6158000000","","",
"Fragile and conflict affected situations","FCS","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","3000000","","","","3000000","","","2000000","","17000000","","","","","","47000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","100000000","1000000","1000000","","","1000000","62000000","33000000","33000000","33000000","32000000","39000000","30000000","","63000000","63000000","","","63000000","63000000","","","20000000","","","","","","1000000","","","22000000","11000000","17000000","26000000","26000000","9000000","10000000","34000000","28000000","12000000","33000000","34000000","40000000","34000000","42000000","121000000","61000000","98000000","64000000","70000000","65000000","98000000","70000000","98000000","27000000","51000000","31000000","45000000","27000000","12000000","","",
"Fiji","FJI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","10000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","942000000","970000000","974000000","1235000000","1439000000","1219000000","1683000000","1555000000","1496000000","1491000000","1670000000","2241000000","2540000000","2845000000","2103000000","2203000000","2020000000","2694000000","3263000000","2972000000","3810000000","3745000000","3798000000","3440000000","2992000000","4034000000","3024000000","1786000000","1989000000","2292000000","1832000000","1218000000","1263000000","990000000","903000000","1027000000","1942000000","3281000000","3165000000","1818000000","1079000000","1418000000","1428000000","1401000000","2301000000","1826000000","1664000000","2366000000","1978000000","1889000000","870000000","1735000000","1029000000","1493000000","1656000000","2043000000","2088000000","2359000000","1784000000","3269000000","1995000000","","",
"Faroe Islands","FRO","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","2221000000","1244000000","1116000000","1297000000","1405000000","1471000000","1334000000","1988000000","1617000000","1761000000","887000000","2194000000","2464000000","2751000000","2337000000","2424000000","2498000000","2169000000","2201000000","1501000000","1702000000","2433000000","2571000000","2559000000","2551000000","2121000000","1972000000","3596000000","2553000000","3548000000","1869000000","1538000000","1180000000","1436000000","1547000000","1479000000","1661000000","2384000000","1413000000","1368000000","1630000000","1387000000","1100000000","754000000","1216000000","1060000000","997000000","984000000","987000000","1080000000","1157000000","1055000000","929000000","1608000000","1651000000","1180000000","1393000000","1237000000","703000000","907000000","429000000","","",
"Georgia","GEO","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46000000","69000000","","69000000","","16000000","","","","","","","","","","","","6000000","7000000","","","","","",
"Ghana","GHA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","6000000","","","","","","","","","","","","","","","","","","","","","","","","","","19000000","","","","","","","","","","","","","","","","","",
